"","precip","solar","air","vapor",""
"1"," 0.0","359.6","  6.2"," 5.0","0"
"2"," 0.0","334.0","  6.0"," 4.8","0"
"3"," 0.0","347.7","  6.2"," 5.0","0"
"4"," 0.0","335.8"," 14.0"," 7.7","0"
"5"," 0.4","319.7"," 15.6","10.0","0"
"6"," 0.1","357.0","  8.7"," 4.1","0"
"7"," 0.0","361.6"," 10.6"," 6.2","0"
"8"," 2.2","207.4"," 12.5","11.6","0"
"9","16.9"," 69.5"," 13.0","14.7","0"
"10"," 2.1","333.1"," 10.9"," 6.2","0"
"11"," 3.4","195.1"," 11.9"," 9.0","0"
"12"," 0.0","361.0"," 10.6"," 7.0","0"
"13"," 0.0","343.1"," 14.9"," 8.2","0"
"14"," 4.4"," 94.7"," 13.4","13.9","0"
"15"," 2.8","241.4"," 11.8"," 9.5","0"
"16"," 0.0","337.3"," 17.0","10.8","0"
"17"," 0.0","259.1"," 19.3","13.6","0"
"18"," 4.2","264.5"," 15.9","14.2","0"
"19"," 0.1","314.1","  9.8"," 6.9","0"
"20"," 0.0","355.4"," 17.5","10.1","0"
"21"," 0.0","359.8"," 21.2","11.1","0"
"22"," 0.0","345.1"," 23.9","15.5","0"
"23"," 0.0","353.6"," 25.5","13.5","0"
"24"," 0.0","327.1"," 26.5","13.9","0"
"25"," 4.3","146.9"," 22.6","22.0","0.0076146875"
"26"," 5.0","283.5"," 25.8","19.2","0.0059141875"
"27","11.1","235.1"," 18.9","15.8","0.021837"
"28"," 1.0","218.9"," 14.7","10.9","0.021837"
"29","9.3","158.0","15.7","14.7","0.021837375"
"30","4.7","233.1","15.6","12.0","0.021837"
"31"," 2.8","319.4"," 13.3"," 9.4","0.0305140833333333"
"32"," 2.3"," 83.9"," 12.8","11.8","0.033737"
"33"," 0.4","257.5"," 17.0","15.3","0.033737"
"34"," 7.6","206.8"," 18.1","17.0","0.0309255833333333"
"35"," 5.4","263.3"," 17.8","14.8","0"
"36"," 0.0","319.1"," 16.6","10.1","0"
