,precip,solar,air,vapor,tem_output
25,4.3,146.9,22.6,22,0.03
26,5,283.5,25.8,19.2,0.04
27,11.1,235.1,18.9,15.8,0.103
28,1,218.9,14.7,10.9,0.088
29,9.3,158,15.7,14.7,0.124
30,4.7,233.1,15.6,12,0.115
31,2.8,319.4,13.3,9.4,0.105
32,2.3,83.9,12.8,11.8,0.105
33,0.4,257.5,17,15.3,0.096
34,7.6,206.8,18.1,17,0.121
39,0.1,297.4,13,8.3,0.101
40,0,331.4,15.8,9.4,0.089
41,1.5,155.8,14,11.5,0.092
42,14.2,31.9,13.1,14.9,0.15
43,0.6,251.9,16.4,13.8,0.112
46,5.2,63.6,17.4,17.4,0.112
47,6.1,146.6,13.1,12.5,0.122
48,7.7,56.3,9.5,11.2,0.133
49,2.8,156.3,10.4,10.7,0.123
50,2.5,111.9,13.1,13.1,0.121
51,5.5,175.4,14.8,15.2,0.131
52,0.7,233.8,17,13.5,0.115
53,2.9,250,17.8,14.7,0.118
54,6.9,193.2,16.9,17.7,0.133
55,0.5,286.4,18.4,15.4,0.116
56,13.1,109.4,17.4,19.5,0.152
57,16.1,61,12.9,13.7,0.167
59,0.2,199.9,14.2,12.4,0.143
60,3.4,210.1,14.9,15.3,0.145
61,0.3,226.9,17.4,15.3,0.135
62,4.2,237.6,19.5,19.4,0.14
63,0.1,300.2,20.3,17,0.128
64,2.5,238.3,20.3,18.7,0.128
65,17.4,35.3,18.7,20.8,0.165
66,13.6,155.3,19.4,20.2,0.172
67,12.4,24.1,14.7,15.7,0.18
68,6.5,69.3,16.7,18.9,0.177
69,7.9,135.6,17.6,19.9,0.178
70,7.5,169.3,18.7,19.8,0.176
71,1.1,191.6,19.7,18.8,0.163
72,0.4,257.9,17.9,13.3,0.155
73,0,298.7,16.3,11,0.149
74,0,273.8,19.2,12.7,0.144
75,0,283.6,18.4,13.9,0.14
76,0.9,222.1,21.3,17.5,0.136
77,9.4,175.7,17.2,15.4,0.155
78,0,286.5,14.5,9.4,0.139
79,0,282,16.5,10.6,0.132
80,0.6,202.6,19.9,14.1,0.126
81,0.1,223.3,19.2,16.9,0.124
82,6.4,224.9,22,20.5,0.137
83,17.6,129.7,12,12.9,0.168
84,2.9,86.4,7.6,6.9,0.151
85,0,273.6,9,6.4,0.14
86,0.4,84.2,11.9,11.3,0.136
87,1.2,105.5,12.7,13.3,0.135
88,16.7,56.9,9.3,11.2,0.168
89,0.4,244,8,6.9,0.147
90,20.3,13,10.1,12.2,0.182
91,0.8,164.3,9.1,8,0.161
92,0.4,190.7,12.7,9.8,0.151
93,8.2,233.8,8.7,7.9,0.162
94,0,232.7,9,7.8,0.149
95,0.8,115.5,12.3,11.3,0.145
96,12.4,96.4,13.1,14.9,0.168
97,1,195.1,11.7,10.4,0.153
98,2.4,139.8,11.9,12.1,0.152
99,0.3,167.2,9.7,8.7,0.144
100,0.1,192.6,7.6,7.3,0.14
101,0,233.1,8.2,6.9,0.134
102,1.4,157.9,15.5,15.6,0.135
103,0,213.5,16.7,16.3,0.131
104,0,215.2,18.9,17.1,0.126
105,0,214,18.4,14.8,0.12
106,0.2,155.1,18.6,17.7,0.119
107,3.8,85.5,19.5,21.6,0.129
108,8.2,106,15.2,15.2,0.143
109,1,145.1,12.4,11.2,0.129
110,0,201.7,15.1,12.8,0.123
111,0,151.1,16.4,12.3,0.117
112,8,65.1,13.2,13.4,0.139
113,0.1,145.6,8.6,8.1,0.124
114,0,155.6,10.9,9.4,0.119
115,10.9,35.2,13.2,14.8,0.149
116,4.9,89,11.7,11.1,0.142
117,14.3,90.7,9.4,10,0.164
118,0.1,119.9,7.8,6.6,0.145
119,8.8,34.2,12.2,12.9,0.159
120,38.8,20.3,8.5,11,0.212
121,3.2,29.6,6.4,9.5,0.192
122,2.9,101.3,4.6,7.2,0.178
123,7.3,97.3,1.6,6.5,0.178
124,0.6,119,1.2,5.2,0.165
125,0.4,108.3,1.9,5.4,0.158
126,10.6,9.5,3.8,7.8,0.173
127,4.2,80.4,2.5,7.2,0.167
128,3.6,66.4,1.2,5.6,0.163
129,2.8,26.4,3.1,6.7,0.159
130,1.4,21.9,4.7,8.2,0.154
131,0,155.2,1.2,5.5,0.148
132,0,144.2,12.1,12.2,0.144
133,0,146.8,13.5,13.7,0.14
134,1.1,130.2,12.1,12.1,0.138
135,0.5,88.2,7.8,7.1,0.133
136,2.8,41.8,6.4,9.1,0.139
137,47.4,3.8,5.2,8.6,0.218
138,9.9,60.1,-0.1,5.3,0.203
139,1.1,53.9,0.2,4.9,0.18
140,0.3,93.5,-1.6,3.7,0.167
141,0.1,115.6,-2.7,3.3,0.158
142,0.5,107.7,-2.6,3.3,0.152
143,0,128.9,-2.9,2.9,0.146
144,0.4,83.6,-2.5,3.5,0.143
145,0.4,82.6,-1.5,3.7,0.139
146,1.3,90.4,-1.4,4,0.136
147,5.9,21.7,1.7,5.9,0.153
148,5.4,17.1,2.7,7.4,0.154
149,1.7,46.3,0.5,6.1,0.152
150,0.8,81.5,-1.9,4.4,0.145
151,10,13.9,1,6.4,0.167
152,5,34.6,-0.5,5.4,0.162
153,5,6.2,-0.1,5.5,0.162
154,4.3,37.6,0.3,6,0.162
155,0,74.2,-3.3,3,0.152
156,0.4,47.7,-3.2,3.2,0.146
157,0,63.7,-4.7,2.3,0.141
158,10.2,5.8,-1.9,5.1,0.14
159,0.8,54.8,-3.7,3.8,0.138
160,3.1,58.7,-3.5,3.7,0.135
161,0.7,77.2,-9,1.9,0.133
162,0.4,37.8,-6.7,2.4,0.133
163,2.3,55,-1.9,4.7,0.131
164,3.2,21.1,-0.2,5.4,0.137
165,2.2,24.5,0.2,5.9,0.139
166,13.7,6,-1.9,4.8,0.134
167,5.4,17.2,-6.2,2.9,0.131
168,0.4,62.2,-6.2,3,0.13
169,0,80.3,-9.1,2.6,0.129
170,0.2,39.5,-2,5.1,0.129
171,0.1,48.4,0.1,5.1,0.128
172,22.1,2.2,5.5,8.9,0.195
173,9.3,42.6,-0.7,5.6,0.185
174,0.2,27.4,0.1,5,0.17
175,0,69.4,-5.5,2.7,0.159
176,1.4,12.7,-0.7,3.9,0.154
177,1.4,30.5,5.5,7.9,0.177
178,4.7,44.4,-4.4,3,0.16
179,0.1,43.4,-1.2,3.9,0.152
180,0.5,51.4,-3.1,3.9,0.148
181,1.2,26.1,-2.5,4.5,0.144
182,21.7,4.4,-5.8,3.3,0.141
183,1,24,-5.5,3.2,0.139
184,1.6,19.5,-7.9,2.5,0.138
185,0.2,42.3,-12.3,1.5,0.137
186,0.5,40.6,-9.5,2.1,0.135
187,0.2,54.2,-13.5,1.5,0.134
188,0,62.7,-16.8,1.2,0.133
189,0,53.8,-16.1,1.1,0.133
190,0,61.8,-11.7,1.1,0.132
191,0,59.4,-13.7,1.3,0.131
192,0,51.2,-10.8,2,0.13
193,5,22.8,-8.9,2.7,0.13
194,16.8,1.5,1.7,6.5,0.174
195,5.2,28.3,-13.1,1.8,0.153
196,0.2,56.7,-19.9,1,0.148
197,0,55.3,-14,1.5,0.144
198,3.3,9,-9.8,2.5,0.142
199,0.4,31,-9.4,2.4,0.139
200,8.4,7.4,0.3,5.9,0.157
201,12.4,4,-5.9,3.3,0.145
202,1.3,32.4,-10.6,2.1,0.142
203,0.3,38.9,-16.4,1.4,0.14
204,1.2,40.9,-16.6,1.5,0.138
205,3.2,6.2,-9.1,3.1,0.136
206,1.6,12.9,-3.3,4.6,0.135
207,4,3.5,-2.1,4.9,0.133
208,4.1,4.3,-0.4,5.6,0.141
209,0.7,40.8,-5,3.5,0.134
210,0,54.5,-11,2.3,0.133
211,0,38.7,-1.4,3.5,0.129
212,0.5,17.4,2.3,6.3,0.144
213,8.8,3,-4.4,4.1,0.135
214,1.7,38.6,-13.5,1.8,0.134
215,0.5,47,-15.7,1.5,0.132
216,0.4,24.2,-15.3,1.5,0.131
217,4.2,8.2,-5.2,3.8,0.13
218,0.9,39.5,-11.4,2.2,0.129
219,0.2,43,-20.9,0.9,0.128
220,2.8,14.3,-19.8,1,0.128
221,0.2,49.7,-27.1,0.5,0.127
222,0.1,55.3,-30.6,0.4,0.126
